Client Name,URL,Expected Provider,Detected Provider,Config,Status,Details,Active
Lindsay Buick GMC,https://www.lindsaybuickgmctruck.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Madison Honda,https://www.madisonhonda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Mall of Georgia Mazda,https://www.mallofgamazda.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Mall of Georgia MINI,https://www.mallofgamini.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Mathews Honda of Paris,https://www.hondaofparis.net/,,,STD,PASS,Perfect (Rule of 2),Yes
Mathews Nissan of Paris,https://www.parisnissan.com/,,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chevrolet GMC,https://www.mcsweeneychevygmc.com/,,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chrysler Dodge Jeep Ram - Clanton,https://www.mcsweeneycdjr.com/,,,STD,PASS,Perfect (Rule of 2),Yes
McSweeney Chrysler Dodge Jeep Ram - Pell City,https://www.mcsweeneychryslerdodgejeepram.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Mercedes-Benz of San Antonio,https://www.mbofsa.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Mike Reichenbach Ford Lincoln,https://www.mikereichenbachfordflorence.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Mike Terry Chevrolet GMC,https://www.mterryautogroup.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Mike Terry Chevrolet Refugio,https://www.miketerrychevrolet.com/,,,STD,PASS,Perfect (Dealer.com Rule of 1),Yes
Mike Terry Ford Mexia,https://www.miketerryford.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Mike Terry Hyundai of Silsbee,https://www.miketerryhyundai.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Monroe Nissan,https://www.monroenissan.com/,,,BUNDLE,PASS,Found via HTTP: idrove.it/behaviour.bundle.js,Yes
Myrtle Beach Chrysler Jeep,https://www.myrtlebeachchryslerjeep.net/,,,STD,PASS,Perfect (Rule of 2),Yes
Nissan  of  Rockville  Centre,https://www.nissanofrockvillecentre.com/,,,STD,PASS,Perfect (Rule of 2),Yes
Nissan of Bay Shore,https://www.nissanofbayshore.com/,,,DCOM,PASS,Perfect (Rule of 1),Yes
Nissan of Garden City,https://www.nissanofgardencity.com/,,,STD,WARN,Found 4 (Expected 2) (Saved Img),Yes
